"","city","data","total"
"766","Chattanooga",3,59458
"767","Philadelphia",1,9107
"768","Citrus Heights",1,220
"769","Alexandria",3,153159
"770","Phoenix",1,2781
"771","Garden City",2,13820
"772","Lawrenceburg",3,90582
"773","Warren",6,75432
"774","Sylvester",1,522
"775","Kansas City",2,20252
"776","San Diego",3,63013
"777","Goodman",8,1038738
"778","Chicago",1,8975
"779","Casa Grande",7,198361
"780","Barstow",2,26073
"781","San Bernardino",2,8885
"782","Eagle River",1,6719
"783","Moss Point",1,526
"784","Bradenton",1,3418
"785","Elmwood Place",29,462628
"786","Tampa",6,81773
"787","Phoenix",3,101751
"788","Phoenix",2,23653
"789","Spring Hill",1,22819
"790","Waukegan",2,59669
"791","South Milwaukee",10,105006
"792","San Diego",3,195494
"793","Emmitsburg",1,260
"794","Coram",1,2489
"795","Jim Thorpe",1,9735
"796","Thornton",2,48126
"797","Sunrise",2,4200
"798","Tooele",4,49049
"799","Lakeview",1,3128
"800","Fresno",1,9683
"801","Huntsville",1,9631
"802","Greenville",1,16814
"803","Albuquerque",2,4223
"804","Huntsville",4,457177
"805","Rock Island",4,17913
"806","Sioux Falls",5,102474
"807","Los Angeles",3,75457
"808","Riesel",2,14219
"809","Clearfield",1,67339
"810","Los Angeles",4,88815
"811","Hyattsville",2,28991
"812","Frostproof",3,62889
"813","Chico",1,9754
"814","Kingman",7,390809
"815","Bakersfield",1,7892
"816","South Bend",4,44440
"817","Houma",4,7431
"818","Albuquerque",4,112118
"819","Billings",1,1988
"820","Barre",1,1654
"821","Bethel Springs",2,20990
"822","San Francisco",1,2208
"823","Kingman",1,108758
"824","Houston",3,125354
"825","Myrtle Beach",22,1710093
"826","Salina",1,17370
"827","Philadelphia",5,115911
"828","Queens",5,175742
"829","Palm City",1,15515
"830","Stockton",1,2745
"831","Wabash",1,43041
"832","Torrance",6,233339
"833","Fayetteville",4,83029
"834","Georgetown",6,162877
"835","Sterling",4,54328
"836","Napa",3,17840
"837","Chula Vista",11,290716
"838","Vancouver",8,239798
"839","Camarillo",1,12172
"840","Las Cruces",1,4629
"841","Wolfe City",2,805
"842","Myrtle Beach",1,3873
"843","Madison Heights",3,312507
"844","Fresno",2,3219
"845","Mojave",7,151691
"846","Tallahassee",2,58481
"847","Longview",1,3252
"848","Decatur",1,4263
"849","Manhattan",1,2121
"850","St. Cloud",2,43759
"851","Victorville",3,37298
"852","Waggaman",3,37714
"853","Dearborn",1,20867
"854","Tempe",4,65273
"855","Spokane",2,41129
"856","Sebring",2,59805
"857","Whitehall",1,2603
"858","San Clemente",2,10278
"859","San Antonio",7,115382
"860","Geneseo",1,3417
"861","Atlanta",1,16273
"862","Bellefontaine Neighbors",2,75392
"863","Athens",1,1433
"864","Redmond",1,30776
"865","Auburn",7,139143
"866","Talking Rock",1,3251
"867","Brunswick",1,7671
"868","Midvale",2,9089
"869","Lakewood",1,2512
"870","Redlands",1,4021
"871","West Des Moines",8,239928
"872","West Odessa",4,261165
"873","Immokalee",2,179951
"874","San Antonio",2,12292
"875","Bountiful",1,45940
"876","Lancaster",4,15622
"877","Denver",1,2129
"878","Spokane Valley",2,42012
"879","Compton",1,2150
"880","Moscow",3,24461
"881","Fayetteville",1,15824
"882","Denver",1,252
"883","Paducah",8,148683
"884","Delray Beach",1,1396
"885","Altoona",8,1703266
"886","Spruce Pine",13,217827
"887","San Antonio",2,3357
"888","Battle Creek",4,312446
"889","Lucerne Valley",1,5397
"890","Syracuse",1,67317
"891","Bakersfield",2,39002
"892","Bettendorf",1,4391
"893","Lacey",9,137810
"894","Washington",5,19773
"895","Sacramento",2,72878
"896","Chicago",2,8461
"897","Westmont",1,3057
"898","Thorsby",2,8045
"899","Meridian",1,23406
"900","Aztec",1,5106
"901","Anaheim",1,3067
"902","Clovis",6,218323
"903","Dearborn Heights",1,69955
"904","Daytona Beach",3,60336
"905","Elkridge",1,11068
"906","San Bernardino",2,725
"907","Salt Lake City",2,23133
"908","Houston",4,68159
"909","Tucson",1,37775
"910","San Antonio",2,6896
"911","Marshall",2,117958
"912","Gray",1,3292
"913","Gray",2,21278
"914","Lincolnton",2,62327
"915","Kingsland",18,445020
"916","Rancho Cordova",1,74951
"917","Rancho Cucamonga",1,1521
"918","Belcourt",2,105623
"919","Lafayette",3,48118
"920","Asbury Park",1,49425
"921","Nipomo",6,142847
"922","Driftwood",3,87103
"923","Bakersfield",1,120
"924","Cabot",1,754
"925","Amity",1,5872
"926","San Benito",1,11082
"927","Chickamauga",19,379289
